Wavelength,Reflexão
(nm),(%)
400,"97,5"
405,"98,1"
410,"98,2"
415,"98,6"
420,"98,9"
425,"99,1"
430,"99,4"
435,"99,4"
440,"99,5"
445,"99,5"
450,"99,6"
455,"99,7"
460,"99,7"
465,"99,7"
470,"99,7"
475,"99,7"
480,"99,6"
485,"99,7"
490,"99,7"
495,"99,7"
500,"99,7"
505,"99,8"
510,"99,8"
515,"99,5"
520,"99,4"
525,"99,6"
530,"99,6"
535,"99,7"
540,"99,8"
545,"99,7"
550,"99,7"
555,"99,6"
560,"99,6"
565,"99,7"
570,"99,9"
575,"99,8"
580,"99,7"
585,"99,8"
590,"99,7"
595,"99,7"
600,"99,7"
605,"98,9"
610,"98,7"
615,"98,6"
620,99
625,"99,3"
630,"99,2"
635,"99,2"
640,"99,2"
645,"98,8"
650,"98,2"
655,"97,8"
660,"96,2"
665,"91,3"
670,"81,6"
675,"68,5"
680,"56,8"
685,"49,5"
690,"45,5"
695,"35,7"
700,"16,5"
705,"4,65"
710,"2,57"
715,"2,21"
720,"2,19"
725,"2,4"
730,2
735,"1,58"
740,"1,55"
745,"1,72"
750,"1,91"
755,"1,8"
760,"1,76"
765,"1,79"
770,"1,51"
775,"1,33"
780,"1,26"
785,"1,11"
790,"1,06"
795,"1,19"
800,"1,37"
805,"1,37"
810,"1,27"
815,"1,37"
820,"1,5"
825,"1,35"
830,"1,21"
835,"1,43"
840,"1,63"
845,"1,51"
850,"1,44"
855,"1,67"
860,"1,8"
865,"1,62"
870,"1,31"
875,"1,18"
880,"1,37"
885,"1,77"
890,"2,01"
895,"1,88"
900,"1,53"
905,"1,3"
910,"1,36"
915,"1,55"
920,"1,71"
925,"1,81"
930,"1,86"
935,"1,83"
940,"1,71"
945,"1,63"
950,"1,64"
955,"1,64"
960,"1,55"
965,"1,44"
970,"1,43"
975,"1,51"
980,"1,59"
985,"1,58"
990,"1,52"
995,"1,51"
1000,"1,6"
1005,"1,71"
1010,"1,74"
1015,"1,69"
1020,"1,64"
1025,"1,68"
1030,"1,78"
1035,"1,93"
1040,"2,12"
1045,"2,33"
1050,"2,51"
1055,"2,58"
1060,"2,63"
1065,"3,01"
1070,"4,21"
1075,"6,43"
1080,"9,35"
1085,"12,7"
1090,"16,4"
1095,"20,3"
1100,"23,9"
