Wavelength (nm),Contrast ratio
277.703321484475,9.70829923109808
280.749573543477,13.7304286395589
284.451615976291,20.2645493045743
288.365203690981,29.3796592152698
292.173018764733,42.1398395613208
295.980833838486,58.3817184706379
300.359821173301,85.2856181127553
305.364378127375,116.866909318909
311.620074319968,155.218254278202
315.019909207247,201.416587118409
321.164338076256,284.796032288194
324.43367425069,441.265666837593
327.871285081161,631.512986250849
330.822341763319,946.4880546499
334.058984576008,1437.26036080641
335.962892112885,2059.96692088974
337.866799649761,2859.21989114125
342.150591607732,4379.771706193
344.054499144608,6209.21535415122
346.434383565703,9038.77038954318
348.33829110258,12995.7032394008
355.953921250084,18060.5577368095
369.009287217235,23528.5167206861
376.182938829393,31429.8128432837
381.973990920725,42601.0119549055
387.504389004031,57993.8575587054
391.584190868766,75621.6244797057
396.173967966592,97898.7361039517
400.2877681802,128335.777832158
406.407470977302,175559.084967589
414.763509611369,239430.317131379
423.542638809187,315524.805963691
432.11022272513,403876.958968662
445.437575483262,536981.532123991
456.670629950832,680849.688590948
467.332512157338,867210.730787368
475.424119189062,1089666.72532272
486.371587526099,1456173.33258017
498.746986515794,1894580.6710557
513.978246810803,2462374.44195464
533.017322179565,2971665.71195719
553.960305085202,3323815.67471156
574.90328799084,3492265.94867998
595.846270896477,3464191.8975342
616.789253802115,3150749.45537923
637.732236707752,2595882.57077606
658.67521961339,2047928.84567361
678.666248750589,1612708.87573312
696.753370350913,1276174.45423143
711.984630645922,989021.658138214
719.600260793426,770322.204074501
726.263937172493,599491.841867444
730.207745641736,430471.362826202
735.783474856873,317897.364777278
743.263111608887,238546.206117594
748.158873846568,183579.138953598
753.326622875232,138923.420164699
757.440423088839,107136.786526762
762.755498295952,81693.2646716554
767.673926099549,62110.0637380305
773.861625594396,46800.9874401531
780.25331518248,34587.0296523342
787.052984957038,26415.5112100779
792.900700963157,19638.0946481447
797.660469805348,15315.6001804736
802.828218834011,11527.7639135322
806.942019047619,9042.95110404744
813.843683868795,7153.03256277687
821.4593140163,5628.3458782959
835.738620542871,4396.46888827745
847.638042648346,3391.19858826888
854.989241193507,2644.2807474617
864.085688314137,2038.48789524087
876.291851078332,1614.89464991767
896.663661722907,1361.87459340813
917.606644628544,1262.62474018074
938.549627534182,1229.93411942728
959.492610439819,1247.43016847993
980.435593345457,1253.73889106853
997.570761177342,1223.03985932073
1005.18639132485,992.09082113125
1026.12937423048,1038.17155508513
1047.07235713612,1078.74705359862
1068.01534004176,1141.45080093127
1088.9583229474,1186.06282584137
1109.90130585303,1232.41845000687
1130.84428875867,1276.71563082667
1151.78727166431,1366.00292991748
1172.73025456995,1381.24752104178
1193.67323747558,1375.68444814154
1214.61622038122,1417.95992552249
1235.55920328686,1488.31947212935
1256.5021861925,1492.83110898938
1277.44516909813,1538.70656238054
1298.38815200377,1541.81457906659
1319.33113490941,1584.39245026519
1340.27411781505,1618.31982634641
1361.21710072068,1652.97370604583
1382.16008362632,1654.64227571415
1403.10306653196,1669.73540118951
1424.0460494376,1705.49026792269
1444.98903234323,1766.79120899848
1465.93201524887,1797.35612616562
1486.87499815451,1795.54364140121
1507.81798106015,1793.73298437753
1528.76096396578,1768.57467004859
1549.70394687142,1848.85530426052
1570.64692977706,1843.2676904378
1591.5899126827,1839.5519993187
1612.53289558833,1837.69696351161
1633.47587849397,1869.48852732627
1654.41886139961,1901.83007492489
1675.36184430525,1865.71997978742
1696.30482721088,1948.4434886597
1717.24781011652,1926.93885327688
1738.19079302216,1926.93885327688
1759.1337759278,1996.1993863465
1780.07675883343,2008.3201404196
1801.01974173907,1984.15178429551
1822.75601945174,1930.8310561539
1842.11241274332,1961.42831261971
1863.84869045598,1964.233809685
1884.79167336162,2036.88888010671
1905.73465626726,1998.21442006168
1926.6776391729,2063.78076287403
1947.62062207853,2038.94498722484
1968.56360498417,2093.13844056653
1989.50658788981,2097.36634818618
2010.44957079545,2133.65010847147
2031.39255370108,2088.9190556367
2051.89617332898,2065.54337836004
2073.27851951236,2091.02768383996
2094.221502418,2172.75260710697
2115.16448532363,2125.05668048972
2136.10746822927,2273.67283810107
2157.05045113491,2246.31119701858
2177.99343404055,2422.88468675965
2199.65038227251,2404.0135988901
2219.87939985182,2645.17019151174
2240.67592833155,2607.66510479629
2261.7653656631,2887.84909174522
2280.80444103186,2951.01099776812
2302.22340082171,3155.17896565604
2320.36340874251,2991.31255213135
2341.04951523444,3146.43690850291
2359.95259720771,3171.4787058033
2373.46127449316,3228.98045463448
2391.23107817067,3445.51714750725
2412.17406107631,3191.19557778664
2432.09186300055,3167.99952840383
2449.1642646499,3731.11491212536
2469.2912871826,3664.23100471178
2490.23427008823,3956.25101985094
2511.17725299387,4190.43959724259
2532.12023589951,4327.93825424796
2553.06321880515,4465.44100840378
2574.00620171078,4319.21392092472
2594.94918461642,4411.70337645447
2615.89216752206,4889.89737059688
2636.8351504277,5019.86675508712
2656.82617956489,4423.73768187645
2666.45148989021,3421.65252826181
2689.19260769179,2769.43004444559
2691.09651522867,2117.92193511409
2692.0484689971,1638.36265738945
2693.95237653398,1241.40366252699
2695.85628407086,960.669001795381
2696.80823783929,701.991438256436
2697.28421472351,524.092915817146
2699.18812226039,402.657805188433
2700.93337083586,301.451581162532
2701.56800668148,231.817947053759
